N_POINTS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
0,143,D,A,2902766,1,0.2,2.4,1,32.42705,0.01,1,28.656,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
1,143,D,A,2902766,1,0.8,2.4,1,32.4271,0.01,1,28.656,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
2,143,D,A,2902766,1,1.7,2.4,1,32.428,0.01,1,28.654,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
3,143,D,A,2902766,1,2.5,2.4,1,32.42781,0.01,1,28.653,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
4,143,D,A,2902766,1,3.5,2.4,1,32.43058,0.01,1,28.655,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
5,143,D,A,2902766,1,4.6,2.4,1,32.42603,0.01,1,28.664,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
6,143,D,A,2902766,1,5.5,2.4,1,32.42691,0.01,1,28.663,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
7,143,D,A,2902766,1,6.6,2.4,1,32.42506,0.01,1,28.665,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
8,143,D,A,2902766,1,7.5,2.4,1,32.42601,0.01,1,28.664,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
9,143,D,A,2902766,1,8.5,2.4,1,32.42685,0.01,1,28.663,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
10,143,D,A,2902766,1,9.5,2.4,1,32.42532,0.01,1,28.663,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
11,143,D,A,2902766,1,15.2,2.4,1,32.4999,0.01,1,28.723,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
12,143,D,A,2902766,1,25.3,2.4,1,32.8301,0.01,1,28.896,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
13,143,D,A,2902766,1,35.8,2.4,1,33.19962,0.01,1,29.205,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
14,143,D,A,2902766,1,45.4,2.4,1,33.55685,0.01,1,29.262,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
15,143,D,A,2902766,1,55.8,2.4,1,33.91156,0.01352,1,28.337,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
16,143,D,A,2902766,1,65.4,2.4,1,34.42873,0.01094,1,26.549,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
17,143,D,A,2902766,1,76.0,2.4,1,34.60873,0.01094,1,25.08,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
18,143,D,A,2902766,1,85.1,2.4,1,34.77739,0.01064,1,23.851,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
19,143,D,A,2902766,1,95.3,2.4,1,34.80804,0.01,1,22.551,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
20,143,D,A,2902766,1,105.3,2.4,1,34.80259,0.01,1,21.88,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
21,143,D,A,2902766,1,115.7,2.4,1,34.81414,0.01,1,20.701,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
22,143,D,A,2902766,1,125.0,2.4,1,34.83686,0.01,1,19.72,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
23,143,D,A,2902766,1,135.2,2.4,1,34.84678,0.01,1,18.956,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
24,143,D,A,2902766,1,145.3,2.4,1,34.86677,0.01,1,18.091,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
25,143,D,A,2902766,1,155.7,2.4,1,34.89411,0.01,1,17.084,0.002,1,1,14.925,89.083,2023-12-01 13:38:56
